code,label,count_for,count_against,count_abstentions,count_did_not_vote,group_voted,division,vote_id
ID,Identity and Democracy,29,14,0,16,1,0.32558139534883723,168278
NI,Non-attached Members,18,8,5,19,1,0.4193548387096774,168278
GUE_NGL,The Left in the European Parliament,1,30,0,6,0,0.032258064516129004,168278
EPP,European Peopleâs Party,142,1,7,27,1,0.053333333333333344,168282
SD,Progressive Alliance of Socialists and Democrats,120,0,0,20,1,0.0,168282
RENEW,Renew Europe,89,0,4,9,1,0.043010752688172005,168282
GREEN_EFA,Greens/European Free Alliance,66,0,1,5,1,0.014925373134328401,168282
ECR,European Conservatives and Reformists,43,15,1,9,1,0.27118644067796616,168282
ID,Identity and Democracy,17,30,1,11,0,0.375,168282
NI,Non-attached Members,24,6,4,16,1,0.2941176470588235,168282
GUE_NGL,The Left in the European Parliament,16,4,12,5,1,0.5,168282
EPP,European Peopleâs Party,146,0,1,30,1,0.006802721088435382,168286
SD,Progressive Alliance of Socialists and Democrats,111,0,1,28,1,0.008928571428571397,168286
RENEW,Renew Europe,93,0,0,9,1,0.0,168286
GREEN_EFA,Greens/European Free Alliance,65,0,1,6,1,0.015151515151515138,168286
ECR,European Conservatives and Reformists,51,1,6,10,1,0.12068965517241381,168286
ID,Identity and Democracy,33,0,14,12,1,0.2978723404255319,168286
NI,Non-attached Members,26,4,4,16,1,0.23529411764705888,168286
GUE_NGL,The Left in the European Parliament,5,0,26,6,1,0.8387096774193549,168286
EPP,European Peopleâs Party,150,0,0,27,1,0.0,168297
SD,Progressive Alliance of Socialists and Democrats,113,0,0,27,1,0.0,168297
RENEW,Renew Europe,93,0,0,9,1,0.0,168297
GREEN_EFA,Greens/European Free Alliance,65,1,0,6,1,0.015151515151515138,168297
ECR,European Conservatives and Reformists,56,0,2,10,1,0.03448275862068961,168297
ID,Identity and Democracy,15,13,19,12,1,0.6808510638297872,168297
NI,Non-attached Members,26,3,5,16,1,0.23529411764705888,168297
GUE_NGL,The Left in the European Parliament,15,14,2,6,1,0.5161290322580645,168297
EPP,European Peopleâs Party,55,91,9,22,0,0.41290322580645167,168307
SD,Progressive Alliance of Socialists and Democrats,125,1,1,13,1,0.015748031496062964,168307
RENEW,Renew Europe,77,20,1,4,1,0.2142857142857143,168307
GREEN_EFA,Greens/European Free Alliance,68,0,0,4,1,0.0,168307
ECR,European Conservatives and Reformists,3,57,1,7,0,0.06557377049180324,168307
ID,Identity and Democracy,2,47,1,9,0,0.06000000000000005,168307
NI,Non-attached Members,16,18,3,13,0,0.5135135135135135,168307
GUE_NGL,The Left in the European Parliament,28,1,3,5,1,0.125,168307
EPP,European Peopleâs Party,158,0,0,19,1,0.0,168299
SD,Progressive Alliance of Socialists and Democrats,8,0,117,15,1,0.9359999999999999,168299
RENEW,Renew Europe,92,0,4,6,1,0.04166666666666663,168299
GREEN_EFA,Greens/European Free Alliance,63,0,4,5,1,0.05970149253731338,168299
ECR,European Conservatives and Reformists,45,5,10,8,1,0.25,168299
ID,Identity and Democracy,17,24,8,10,0,0.5102040816326531,168299
NI,Non-attached Members,15,18,5,12,0,0.5263157894736843,168299
GUE_NGL,The Left in the European Parliament,14,5,13,5,1,0.5625,168299
EPP,European Peopleâs Party,143,0,2,32,1,0.01379310344827589,168320
SD,Progressive Alliance of Socialists and Democrats,112,0,0,28,1,0.0,168320
RENEW,Renew Europe,83,8,2,9,1,0.10752688172043012,168320
GREEN_EFA,Greens/European Free Alliance,65,0,0,7,1,0.0,168320
ECR,European Conservatives and Reformists,4,34,20,10,0,0.4137931034482759,168320
ID,Identity and Democracy,0,28,18,13,0,0.3913043478260869,168320
NI,Non-attached Members,21,6,7,16,1,0.38235294117647056,168320
GUE_NGL,The Left in the European Parliament,31,0,0,6,1,0.0,168320
EPP,European Peopleâs Party,62,92,4,19,0,0.4177215189873418,168309
SD,Progressive Alliance of Socialists and Democrats,117,9,0,14,1,0.0714285714285714,168309
RENEW,Renew Europe,85,7,5,5,1,0.12371134020618557,168309
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168309
ECR,European Conservatives and Reformists,4,52,5,7,0,0.14754098360655743,168309
ID,Identity and Democracy,0,48,0,11,0,0.0,168309
NI,Non-attached Members,17,17,1,15,0,0.5142857142857142,168309
GUE_NGL,The Left in the European Parliament,29,0,2,6,1,0.06451612903225812,168309
EPP,European Peopleâs Party,158,1,0,18,1,0.0062893081761006275,168311
SD,Progressive Alliance of Socialists and Democrats,11,0,113,16,1,0.9112903225806451,168311
RENEW,Renew Europe,94,0,4,4,1,0.04081632653061229,168311
GREEN_EFA,Greens/European Free Alliance,62,0,4,6,1,0.06060606060606055,168311
ECR,European Conservatives and Reformists,46,5,10,7,1,0.24590163934426235,168311
ID,Identity and Democracy,15,33,1,10,0,0.326530612244898,168311
NI,Non-attached Members,12,19,5,14,0,0.4722222222222222,168311
GUE_NGL,The Left in the European Parliament,10,5,16,6,1,0.6774193548387097,168311
EPP,European Peopleâs Party,150,0,0,27,1,0.0,168334
SD,Progressive Alliance of Socialists and Democrats,113,0,0,27,1,0.0,168334
RENEW,Renew Europe,94,0,0,8,1,0.0,168334
GREEN_EFA,Greens/European Free Alliance,65,0,0,7,1,0.0,168334
ECR,European Conservatives and Reformists,34,21,3,10,1,0.4137931034482759,168334
ID,Identity and Democracy,35,1,11,12,1,0.25531914893617025,168334
NI,Non-attached Members,29,2,1,18,1,0.09375,168334
GUE_NGL,The Left in the European Parliament,31,0,0,6,1,0.0,168334
EPP,European Peopleâs Party,149,0,1,27,1,0.00666666666666671,168342
SD,Progressive Alliance of Socialists and Democrats,112,0,0,28,1,0.0,168342
RENEW,Renew Europe,88,5,1,8,1,0.06382978723404253,168342
GREEN_EFA,Greens/European Free Alliance,66,0,0,6,1,0.0,168342
ECR,European Conservatives and Reformists,0,56,2,10,0,0.03448275862068961,168342
ID,Identity and Democracy,1,42,4,12,0,0.1063829787234043,168342
NI,Non-attached Members,22,11,1,16,1,0.3529411764705882,168342
GUE_NGL,The Left in the European Parliament,26,1,4,6,1,0.16129032258064513,168342
EPP,European Peopleâs Party,143,14,2,18,1,0.10062893081761004,168324
SD,Progressive Alliance of Socialists and Democrats,119,0,8,13,1,0.06299212598425197,168324
RENEW,Renew Europe,96,1,0,5,1,0.010309278350515427,168324
GREEN_EFA,Greens/European Free Alliance,64,1,2,5,1,0.04477611940298509,168324
ECR,European Conservatives and Reformists,51,7,3,7,1,0.16393442622950816,168324
ID,Identity and Democracy,51,0,0,8,1,0.0,168324
NI,Non-attached Members,28,3,6,13,1,0.2432432432432432,168324
GUE_NGL,The Left in the European Parliament,13,11,8,5,1,0.59375,168324
EPP,European Peopleâs Party,157,1,0,19,1,0.006329113924050667,168338
SD,Progressive Alliance of Socialists and Democrats,124,0,1,15,1,0.008000000000000007,168338
RENEW,Renew Europe,92,5,0,5,1,0.05154639175257736,168338
GREEN_EFA,Greens/European Free Alliance,66,0,0,6,1,0.0,168338
ECR,European Conservatives and Reformists,46,14,1,7,1,0.24590163934426235,168338
ID,Identity and Democracy,40,1,8,10,1,0.18367346938775508,168338
NI,Non-attached Members,34,3,1,12,1,0.10526315789473684,168338
GUE_NGL,The Left in the European Parliament,31,0,1,5,1,0.03125,168338
EPP,European Peopleâs Party,158,1,0,18,1,0.0062893081761006275,168353
SD,Progressive Alliance of Socialists and Democrats,126,0,0,14,1,0.0,168353
RENEW,Renew Europe,92,5,0,5,1,0.05154639175257736,168353
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168353
ECR,European Conservatives and Reformists,43,13,5,7,1,0.29508196721311475,168353
ID,Identity and Democracy,3,9,38,9,0,0.8200000000000001,168353
NI,Non-attached Members,31,5,1,13,1,0.16216216216216217,168353
GUE_NGL,The Left in the European Parliament,27,0,5,5,1,0.15625,168353
EPP,European Peopleâs Party,154,2,0,21,1,0.012820512820512775,168352
SD,Progressive Alliance of Socialists and Democrats,7,0,120,13,1,0.9448818897637795,168352
RENEW,Renew Europe,93,0,4,5,1,0.04123711340206182,168352
GREEN_EFA,Greens/European Free Alliance,62,0,4,6,1,0.06060606060606055,168352
ECR,European Conservatives and Reformists,48,4,9,7,1,0.21311475409836067,168352
ID,Identity and Democracy,17,31,1,10,0,0.36734693877551017,168352
NI,Non-attached Members,13,18,7,12,0,0.5263157894736843,168352
GUE_NGL,The Left in the European Parliament,15,5,12,5,1,0.53125,168352
EPP,European Peopleâs Party,143,0,0,34,1,0.0,168336
SD,Progressive Alliance of Socialists and Democrats,109,0,0,31,1,0.0,168336
RENEW,Renew Europe,89,1,0,12,1,0.011111111111111072,168336
GREEN_EFA,Greens/European Free Alliance,61,0,4,7,1,0.06153846153846154,168336
ECR,European Conservatives and Reformists,49,8,1,10,1,0.15517241379310343,168336
ID,Identity and Democracy,14,10,20,15,1,0.6818181818181819,168336
NI,Non-attached Members,24,6,1,19,1,0.22580645161290325,168336
GUE_NGL,The Left in the European Parliament,24,0,7,6,1,0.22580645161290325,168336
EPP,European Peopleâs Party,126,21,1,29,1,0.14864864864864868,168348
SD,Progressive Alliance of Socialists and Democrats,112,2,0,26,1,0.01754385964912286,168348
RENEW,Renew Europe,94,0,0,8,1,0.0,168348
GREEN_EFA,Greens/European Free Alliance,3,58,3,8,0,0.09375,168348
ECR,European Conservatives and Reformists,54,0,4,10,1,0.06896551724137934,168348
ID,Identity and Democracy,36,0,11,12,1,0.23404255319148937,168348
NI,Non-attached Members,23,8,2,17,1,0.303030303030303,168348
GUE_NGL,The Left in the European Parliament,0,31,0,6,0,0.0,168348
EPP,European Peopleâs Party,142,0,0,35,1,0.0,168350
SD,Progressive Alliance of Socialists and Democrats,110,0,1,29,1,0.009009009009009028,168350
RENEW,Renew Europe,88,0,3,11,1,0.03296703296703296,168350
GREEN_EFA,Greens/European Free Alliance,65,0,0,7,1,0.0,168350
ECR,European Conservatives and Reformists,52,1,3,12,1,0.0714285714285714,168350
ID,Identity and Democracy,38,0,7,14,1,0.15555555555555556,168350
NI,Non-attached Members,25,2,4,19,1,0.19354838709677424,168350
GUE_NGL,The Left in the European Parliament,30,0,1,6,1,0.032258064516129004,168350
EPP,European Peopleâs Party,136,5,5,31,1,0.06849315068493156,168450
SD,Progressive Alliance of Socialists and Democrats,114,0,0,26,1,0.0,168450
RENEW,Renew Europe,94,0,0,8,1,0.0,168450
GREEN_EFA,Greens/European Free Alliance,65,0,1,6,1,0.015151515151515138,168450
ECR,European Conservatives and Reformists,5,16,34,13,0,0.7090909090909091,168450
ID,Identity and Democracy,2,29,15,13,0,0.3695652173913043,168450
NI,Non-attached Members,15,6,11,18,1,0.53125,168450
GUE_NGL,The Left in the European Parliament,30,0,0,7,1,0.0,168450
EPP,European Peopleâs Party,157,1,0,19,1,0.006329113924050667,168354
SD,Progressive Alliance of Socialists and Democrats,125,0,0,15,1,0.0,168354
RENEW,Renew Europe,93,5,0,4,1,0.05102040816326525,168354
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168354
ECR,European Conservatives and Reformists,46,14,1,7,1,0.24590163934426235,168354
ID,Identity and Democracy,48,1,1,9,1,0.040000000000000036,168354
NI,Non-attached Members,35,3,0,12,1,0.07894736842105265,168354
GUE_NGL,The Left in the European Parliament,31,0,1,5,1,0.03125,168354
EPP,European Peopleâs Party,146,0,0,31,1,0.0,168428
SD,Progressive Alliance of Socialists and Democrats,105,0,6,29,1,0.05405405405405406,168428
RENEW,Renew Europe,93,0,0,9,1,0.0,168428
GREEN_EFA,Greens/European Free Alliance,7,0,59,6,1,0.8939393939393939,168428
ECR,European Conservatives and Reformists,51,3,3,11,1,0.10526315789473684,168428
ID,Identity and Democracy,35,0,10,14,1,0.2222222222222222,168428
NI,Non-attached Members,27,4,3,16,1,0.20588235294117652,168428
GUE_NGL,The Left in the European Parliament,6,16,5,10,0,0.40740740740740744,168428
EPP,European Peopleâs Party,148,3,2,24,1,0.0326797385620915,168422
SD,Progressive Alliance of Socialists and Democrats,113,0,7,20,1,0.05833333333333335,168422
RENEW,Renew Europe,87,5,4,6,1,0.09375,168422
GREEN_EFA,Greens/European Free Alliance,0,1,67,4,0,0.9852941176470589,168422
ECR,European Conservatives and Reformists,30,24,6,8,1,0.5,168422
ID,Identity and Democracy,16,23,9,11,0,0.5208333333333333,168422
NI,Non-attached Members,18,5,13,14,1,0.5,168422
GUE_NGL,The Left in the European Parliament,4,0,28,5,1,0.875,168422
EPP,European Peopleâs Party,139,1,5,32,1,0.04137931034482756,168452
SD,Progressive Alliance of Socialists and Democrats,11,2,99,28,1,0.9017857142857143,168452
RENEW,Renew Europe,92,1,0,9,1,0.010752688172043001,168452
GREEN_EFA,Greens/European Free Alliance,0,63,3,6,0,0.045454545454545414,168452
ECR,European Conservatives and Reformists,57,1,0,10,1,0.017241379310344862,168452
ID,Identity and Democracy,31,16,0,12,1,0.34042553191489366,168452
NI,Non-attached Members,20,7,6,17,1,0.3939393939393939,168452
GUE_NGL,The Left in the European Parliament,3,27,1,6,0,0.12903225806451613,168452
EPP,European Peopleâs Party,142,0,0,35,1,0.0,168454
SD,Progressive Alliance of Socialists and Democrats,110,0,0,30,1,0.0,168454
RENEW,Renew Europe,88,2,0,12,1,0.022222222222222254,168454
GREEN_EFA,Greens/European Free Alliance,61,2,0,9,1,0.031746031746031744,168454
ECR,European Conservatives and Reformists,46,6,6,10,1,0.2068965517241379,168454
ID,Identity and Democracy,15,27,2,15,0,0.38636363636363635,168454
NI,Non-attached Members,22,7,3,18,1,0.3125,168454
GUE_NGL,The Left in the European Parliament,2,12,15,8,0,0.5862068965517242,168454
EPP,European Peopleâs Party,157,1,0,19,1,0.006329113924050667,168444
SD,Progressive Alliance of Socialists and Democrats,116,5,4,15,1,0.07199999999999995,168444
RENEW,Renew Europe,86,9,2,5,1,0.11340206185567014,168444
GREEN_EFA,Greens/European Free Alliance,25,38,4,5,0,0.4328358208955224,168444
ECR,European Conservatives and Reformists,37,15,9,7,1,0.39344262295081966,168444
ID,Identity and Democracy,1,31,17,10,0,0.36734693877551017,168444
NI,Non-attached Members,21,15,2,12,1,0.4473684210526315,168444
GUE_NGL,The Left in the European Parliament,2,28,1,6,0,0.09677419354838712,168444
EPP,European Peopleâs Party,142,1,0,34,1,0.006993006993006978,168456
SD,Progressive Alliance of Socialists and Democrats,110,0,0,30,1,0.0,168456
RENEW,Renew Europe,88,0,0,14,1,0.0,168456
GREEN_EFA,Greens/European Free Alliance,61,0,4,7,1,0.06153846153846154,168456
ECR,European Conservatives and Reformists,20,34,4,10,0,0.4137931034482759,168456
ID,Identity and Democracy,15,5,24,15,1,0.6590909090909092,168456
NI,Non-attached Members,22,6,1,21,1,0.24137931034482762,168456
GUE_NGL,The Left in the European Parliament,24,1,5,7,1,0.19999999999999996,168456
EPP,European Peopleâs Party,160,0,0,17,1,0.0,168458
SD,Progressive Alliance of Socialists and Democrats,126,0,0,14,1,0.0,168458
RENEW,Renew Europe,98,0,0,4,1,0.0,168458
GREEN_EFA,Greens/European Free Alliance,68,0,0,4,1,0.0,168458
ECR,European Conservatives and Reformists,53,2,6,7,1,0.1311475409836066,168458
ID,Identity and Democracy,36,5,9,9,1,0.28,168458
NI,Non-attached Members,35,1,2,12,1,0.07894736842105265,168458
GUE_NGL,The Left in the European Parliament,31,0,0,6,1,0.0,168458
EPP,European Peopleâs Party,131,26,2,18,1,0.17610062893081757,168463
SD,Progressive Alliance of Socialists and Democrats,112,13,2,13,1,0.11811023622047245,168463
RENEW,Renew Europe,88,7,3,4,1,0.10204081632653061,168463
GREEN_EFA,Greens/European Free Alliance,3,64,1,4,0,0.05882352941176472,168463
ECR,European Conservatives and Reformists,5,19,37,7,0,0.6885245901639344,168463
ID,Identity and Democracy,0,34,16,9,0,0.31999999999999995,168463
NI,Non-attached Members,13,19,5,13,0,0.4864864864864865,168463
GUE_NGL,The Left in the European Parliament,0,31,1,5,0,0.03125,168463
EPP,European Peopleâs Party,118,27,9,23,1,0.23376623376623373,168478
SD,Progressive Alliance of Socialists and Democrats,51,63,10,16,0,0.49193548387096775,168478
RENEW,Renew Europe,83,8,6,5,1,0.14432989690721654,168478
GREEN_EFA,Greens/European Free Alliance,0,51,12,9,0,0.19047619047619047,168478
ECR,European Conservatives and Reformists,32,26,1,9,1,0.4576271186440678,168478
ID,Identity and Democracy,45,4,0,10,1,0.08163265306122447,168478
NI,Non-attached Members,6,30,2,12,0,0.21052631578947367,168478
GUE_NGL,The Left in the European Parliament,1,29,1,6,0,0.06451612903225812,168478
EPP,European Peopleâs Party,140,1,2,34,1,0.020979020979020935,168469
SD,Progressive Alliance of Socialists and Democrats,111,0,0,29,1,0.0,168469
RENEW,Renew Europe,86,3,0,13,1,0.0337078651685393,168469
GREEN_EFA,Greens/European Free Alliance,61,0,4,7,1,0.06153846153846154,168469
ECR,European Conservatives and Reformists,1,56,1,10,0,0.03448275862068961,168469
ID,Identity and Democracy,0,44,0,15,0,0.0,168469
NI,Non-attached Members,11,11,9,19,0,0.6451612903225806,168469
GUE_NGL,The Left in the European Parliament,23,1,7,6,1,0.25806451612903225,168469
EPP,European Peopleâs Party,153,0,0,24,1,0.0,168483
SD,Progressive Alliance of Socialists and Democrats,113,0,0,27,1,0.0,168483
RENEW,Renew Europe,93,0,0,9,1,0.0,168483
GREEN_EFA,Greens/European Free Alliance,66,0,0,6,1,0.0,168483
ECR,European Conservatives and Reformists,58,0,0,10,1,0.0,168483
ID,Identity and Democracy,39,8,0,12,1,0.17021276595744683,168483
NI,Non-attached Members,30,2,2,16,1,0.11764705882352944,168483
GUE_NGL,The Left in the European Parliament,30,0,1,6,1,0.032258064516129004,168483
EPP,European Peopleâs Party,114,43,2,18,1,0.28301886792452835,168493
SD,Progressive Alliance of Socialists and Democrats,113,13,0,14,1,0.10317460317460314,168493
RENEW,Renew Europe,87,7,4,4,1,0.11224489795918369,168493
GREEN_EFA,Greens/European Free Alliance,3,63,1,5,0,0.05970149253731338,168493
ECR,European Conservatives and Reformists,11,14,35,8,0,0.7666666666666666,168493
ID,Identity and Democracy,0,34,16,9,0,0.31999999999999995,168493
NI,Non-attached Members,7,19,11,13,0,0.4864864864864865,168493
GUE_NGL,The Left in the European Parliament,0,31,1,5,0,0.03125,168493
EPP,European Peopleâs Party,132,18,10,17,1,0.17500000000000004,168504
SD,Progressive Alliance of Socialists and Democrats,122,4,1,13,1,0.03937007874015752,168504
RENEW,Renew Europe,82,13,1,6,1,0.14583333333333337,168504
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168504
ECR,European Conservatives and Reformists,19,35,7,7,0,0.42622950819672134,168504
ID,Identity and Democracy,0,50,0,9,0,0.0,168504
NI,Non-attached Members,27,8,1,14,1,0.25,168504
GUE_NGL,The Left in the European Parliament,27,1,4,5,1,0.15625,168504
EPP,European Peopleâs Party,145,0,0,32,1,0.0,168559
SD,Progressive Alliance of Socialists and Democrats,112,0,0,28,1,0.0,168559
RENEW,Renew Europe,91,0,0,11,1,0.0,168559
GREEN_EFA,Greens/European Free Alliance,65,0,0,7,1,0.0,168559
ECR,European Conservatives and Reformists,48,8,2,10,1,0.1724137931034483,168559
ID,Identity and Democracy,16,22,7,14,0,0.5111111111111111,168559
NI,Non-attached Members,24,6,3,17,1,0.2727272727272727,168559
GUE_NGL,The Left in the European Parliament,29,0,2,6,1,0.06451612903225812,168559
EPP,European Peopleâs Party,149,4,3,21,1,0.04487179487179482,168573
SD,Progressive Alliance of Socialists and Democrats,113,10,0,17,1,0.08130081300813008,168573
RENEW,Renew Europe,98,0,0,4,1,0.0,168573
GREEN_EFA,Greens/European Free Alliance,68,0,0,4,1,0.0,168573
ECR,European Conservatives and Reformists,20,4,37,7,1,0.6721311475409837,168573
ID,Identity and Democracy,33,0,16,10,1,0.326530612244898,168573
NI,Non-attached Members,10,9,16,15,1,0.7142857142857143,168573
GUE_NGL,The Left in the European Parliament,31,0,0,6,1,0.0,168573
EPP,European Peopleâs Party,118,16,20,23,1,0.23376623376623373,168558
SD,Progressive Alliance of Socialists and Democrats,115,1,6,18,1,0.05737704918032782,168558
RENEW,Renew Europe,74,18,3,7,1,0.2210526315789474,168558
GREEN_EFA,Greens/European Free Alliance,66,2,0,4,1,0.02941176470588236,168558
ECR,European Conservatives and Reformists,9,48,3,8,0,0.19999999999999996,168558
ID,Identity and Democracy,0,13,36,10,0,0.7346938775510203,168558
NI,Non-attached Members,18,5,14,13,1,0.5135135135135135,168558
GUE_NGL,The Left in the European Parliament,31,1,0,5,1,0.03125,168558
EPP,European Peopleâs Party,118,36,4,19,1,0.25316455696202533,168569
SD,Progressive Alliance of Socialists and Democrats,112,10,4,14,1,0.11111111111111116,168569
RENEW,Renew Europe,87,9,0,6,1,0.09375,168569
GREEN_EFA,Greens/European Free Alliance,42,23,3,4,1,0.38235294117647056,168569
ECR,European Conservatives and Reformists,4,23,34,7,0,0.6229508196721312,168569
ID,Identity and Democracy,1,44,0,14,0,0.022222222222222254,168569
NI,Non-attached Members,16,18,3,13,0,0.5135135135135135,168569
GUE_NGL,The Left in the European Parliament,5,17,8,7,0,0.43333333333333335,168569
EPP,European Peopleâs Party,159,0,1,17,1,0.006249999999999978,168630
SD,Progressive Alliance of Socialists and Democrats,125,0,0,15,1,0.0,168630
RENEW,Renew Europe,98,0,0,4,1,0.0,168630
GREEN_EFA,Greens/European Free Alliance,67,1,0,4,1,0.014705882352941124,168630
ECR,European Conservatives and Reformists,26,4,31,7,1,0.5737704918032787,168630
ID,Identity and Democracy,18,28,4,9,0,0.43999999999999995,168630
NI,Non-attached Members,31,3,2,14,1,0.13888888888888884,168630
GUE_NGL,The Left in the European Parliament,32,0,0,5,1,0.0,168630
EPP,European Peopleâs Party,156,3,1,17,1,0.025000000000000022,168589
SD,Progressive Alliance of Socialists and Democrats,126,0,0,14,1,0.0,168589
RENEW,Renew Europe,89,8,0,5,1,0.08247422680412375,168589
GREEN_EFA,Greens/European Free Alliance,67,0,1,4,1,0.014705882352941124,168589
ECR,European Conservatives and Reformists,46,13,2,7,1,0.24590163934426235,168589
ID,Identity and Democracy,16,16,17,10,0,0.6734693877551021,168589
NI,Non-attached Members,29,2,6,13,1,0.21621621621621623,168589
GUE_NGL,The Left in the European Parliament,31,1,0,5,1,0.03125,168589
EPP,European Peopleâs Party,156,0,3,18,1,0.018867924528301883,168631
SD,Progressive Alliance of Socialists and Democrats,123,0,0,17,1,0.0,168631
RENEW,Renew Europe,97,0,0,5,1,0.0,168631
GREEN_EFA,Greens/European Free Alliance,68,0,0,4,1,0.0,168631
ECR,European Conservatives and Reformists,22,37,2,7,0,0.39344262295081966,168631
ID,Identity and Democracy,4,45,0,10,0,0.08163265306122447,168631
NI,Non-attached Members,22,6,10,12,1,0.42105263157894735,168631
GUE_NGL,The Left in the European Parliament,29,1,2,5,1,0.09375,168631
EPP,European Peopleâs Party,148,1,3,25,1,0.02631578947368418,168681
SD,Progressive Alliance of Socialists and Democrats,68,40,3,29,1,0.3873873873873874,168681
RENEW,Renew Europe,82,8,3,9,1,0.11827956989247312,168681
GREEN_EFA,Greens/European Free Alliance,2,59,4,7,0,0.09230769230769231,168681
ECR,European Conservatives and Reformists,57,1,0,10,1,0.017241379310344862,168681
ID,Identity and Democracy,47,0,0,12,1,0.0,168681
NI,Non-attached Members,17,5,10,18,1,0.46875,168681
GUE_NGL,The Left in the European Parliament,4,16,10,7,0,0.4666666666666667,168681
EPP,European Peopleâs Party,139,4,8,26,1,0.07947019867549665,168799
SD,Progressive Alliance of Socialists and Democrats,126,0,0,14,1,0.0,168799
RENEW,Renew Europe,93,2,0,7,1,0.021052631578947323,168799
GREEN_EFA,Greens/European Free Alliance,65,0,1,6,1,0.015151515151515138,168799
ECR,European Conservatives and Reformists,3,41,16,8,0,0.31666666666666665,168799
ID,Identity and Democracy,0,22,27,10,0,0.5510204081632653,168799
NI,Non-attached Members,19,18,1,12,1,0.5,168799
GUE_NGL,The Left in the European Parliament,28,2,0,7,1,0.06666666666666665,168799
EPP,European Peopleâs Party,113,6,13,45,1,0.14393939393939392,168862
SD,Progressive Alliance of Socialists and Democrats,104,0,1,35,1,0.00952380952380949,168862
RENEW,Renew Europe,85,3,0,14,1,0.03409090909090906,168862
GREEN_EFA,Greens/European Free Alliance,62,0,2,8,1,0.03125,168862
ECR,European Conservatives and Reformists,2,49,5,12,0,0.125,168862
ID,Identity and Democracy,0,41,0,18,0,0.0,168862
NI,Non-attached Members,9,17,4,20,0,0.43333333333333335,168862
GUE_NGL,The Left in the European Parliament,24,1,3,9,1,0.1428571428571429,168862
EPP,European Peopleâs Party,17,129,12,19,0,0.18354430379746833,168863
SD,Progressive Alliance of Socialists and Democrats,124,1,1,14,1,0.015873015873015928,168863
RENEW,Renew Europe,76,18,1,7,1,0.19999999999999996,168863
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168863
ECR,European Conservatives and Reformists,28,26,7,7,1,0.540983606557377,168863
ID,Identity and Democracy,24,0,25,10,1,0.5102040816326531,168863
NI,Non-attached Members,23,13,1,13,1,0.3783783783783784,168863
GUE_NGL,The Left in the European Parliament,29,1,0,7,1,0.033333333333333326,168863
EPP,European Peopleâs Party,150,0,0,27,1,0.0,168274
SD,Progressive Alliance of Socialists and Democrats,127,0,0,13,1,0.0,168274
RENEW,Renew Europe,93,0,0,9,1,0.0,168274
GREEN_EFA,Greens/European Free Alliance,66,0,0,6,1,0.0,168274
ECR,European Conservatives and Reformists,54,3,1,10,1,0.06896551724137934,168274
ID,Identity and Democracy,36,11,1,11,1,0.25,168274
NI,Non-attached Members,27,4,3,16,1,0.20588235294117652,168274
GUE_NGL,The Left in the European Parliament,18,0,12,7,1,0.4,168274
EPP,European Peopleâs Party,149,1,0,27,1,0.00666666666666671,168301
SD,Progressive Alliance of Socialists and Democrats,120,1,2,17,1,0.024390243902439046,168301
RENEW,Renew Europe,92,0,3,7,1,0.03157894736842104,168301
GREEN_EFA,Greens/European Free Alliance,66,0,0,6,1,0.0,168301
ECR,European Conservatives and Reformists,53,2,3,10,1,0.08620689655172409,168301
ID,Identity and Democracy,0,32,16,11,0,0.33333333333333337,168301
NI,Non-attached Members,28,4,3,15,1,0.19999999999999996,168301
GUE_NGL,The Left in the European Parliament,29,0,1,7,1,0.033333333333333326,168301
EPP,European Peopleâs Party,147,0,0,30,1,0.0,168305
SD,Progressive Alliance of Socialists and Democrats,127,0,0,13,1,0.0,168305
RENEW,Renew Europe,92,0,3,7,1,0.03157894736842104,168305
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168305
ECR,European Conservatives and Reformists,11,4,43,10,1,0.8103448275862069,168305
ID,Identity and Democracy,31,5,13,10,1,0.36734693877551017,168305
NI,Non-attached Members,29,1,6,14,1,0.19444444444444442,168305
GUE_NGL,The Left in the European Parliament,29,1,0,7,1,0.033333333333333326,168305
EPP,European Peopleâs Party,150,0,0,27,1,0.0,168295
SD,Progressive Alliance of Socialists and Democrats,128,0,0,12,1,0.0,168295
RENEW,Renew Europe,95,0,0,7,1,0.0,168295
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168295
ECR,European Conservatives and Reformists,57,0,1,10,1,0.017241379310344862,168295
ID,Identity and Democracy,48,0,2,9,1,0.040000000000000036,168295
NI,Non-attached Members,31,2,1,16,1,0.08823529411764708,168295
GUE_NGL,The Left in the European Parliament,28,0,2,7,1,0.06666666666666665,168295
EPP,European Peopleâs Party,151,0,0,26,1,0.0,168328
SD,Progressive Alliance of Socialists and Democrats,128,0,0,12,1,0.0,168328
RENEW,Renew Europe,95,0,0,7,1,0.0,168328
GREEN_EFA,Greens/European Free Alliance,67,0,0,5,1,0.0,168328
ECR,European Conservatives and Reformists,48,4,7,9,1,0.18644067796610164,168328
